îNåéì˙,éûçè,ïiéø,â∑ìx1,â∑ìx2,â∑ìx3,îSìx,êÖà≥,ë˜ìx,â¡ë¨ìx,è∆éÀéûä‘,ìSï™,ÉiÉgÉäÉEÉÄ,écóØâñëfîZìx,é_ëfñOòaìx
2016/8/12,8:00,B,79.232,84.992,75.002,64,111,44,9.324,81.7,0,0.55,0,31.176
2016/8/12,9:00,B,80.996,87.008,75.002,54,111,44,9.324,81.7,0,1.07,0,47.459
2016/8/12,10:00,B,81.68,84.992,77,64,110,44,9.324,81.5,0,1.45,0,46.33
2016/8/12,11:00,B,83.786,87.998,78.008,63,110,20,7.308,81.5,0,2.03,0.2,75.585
2016/8/12,12:00,B,85.37,91.994,78.008,62,109,20,7.308,81.5,0,3.21,1,31.28
2016/8/12,13:00,B,85.424,91.004,80.996,59,109,20,11.088,81.5,0,2.34,0.4,61.683
2016/8/12,14:00,B,86.18,95,78.008,58,109,32,5.544,81.5,0,3.14,0.9,64.563
2016/8/12,15:00,B,86.99,96.008,80.996,31,109,32,9.216,81.5,0,2.29,0.8,58.635
2016/8/12,16:00,B,86.036,93.992,80.996,73,107,32,9.216,81.5,0,1.47,0.6,60.409
2016/8/12,17:00,B,84.614,91.004,80.996,58,108,24,11.088,81.5,0,1.06,0.8,27.646
2016/8/12,18:00,B,82.904,89.006,80.006,69,108,24,20.34,81.5,0,0.4,0.8,43.595
2016/8/12,19:00,B,81.05,84.002,78.008,74,108,24,24.048,81.5,0,0.03,0,60.609
2016/8/12,20:00,A,79.43,84.002,75.992,84,109,8,13.752,81.5,0,0,0,24.927
2016/8/12,21:00,A,78.8,84.002,75.002,72,109,8,5.544,81.5,0,0,0,62.277
2016/8/12,22:00,A,78.188,82.994,73.994,78,109,8,18.504,81.5,0,0,0,38.531
2016/8/12,23:00,A,77.9,82.994,73.004,86,108,8,8.928,81.5,0,0,0,38.269
2016/8/13,0:00,A,77.756,82.994,73.994,77,109,8,8.928,81.5,0,0,0,56.652
2016/8/13,1:00,A,77.18,82.994,73.994,90,108,8,7.956,81.5,0,0,0,52.788
2016/8/13,2:00,A,76.892,80.996,73.994,75,109,8,6.048,81.5,0,0,0,30.781
2016/8/13,3:00,A,76.19,80.996,73.004,81,108,8,6.048,81.5,0,0,0,46.206
2016/8/13,4:00,A,76.1,80.996,73.994,81,108,8,6.048,81.5,0,0,0,59.506
2016/8/13,5:00,A,75.902,80.996,73.004,78,109,0,14.796,81.5,0,0,0,39.918
2016/8/13,6:00,A,75.956,80.996,73.004,78,109,0,11.088,81.5,0,0.12,0.1,69.727
2016/8/13,7:00,A,77.594,82.994,73.004,76,109,0,6.336,81.5,0,0.72,0.8,49.422
2016/8/13,8:00,A,79.772,84.992,75.002,84,109,0,6.336,81.5,0,1.36,0.7,12.611
2016/8/13,9:00,A,82.274,89.996,75.002,70,109,0,6.336,81.5,0,1.66,0.6,25.272
2016/8/13,10:00,A,83.12,87.008,77,61,109,0,11.088,81.3,0,1.81,0.3,68.33
2016/8/13,11:00,A,84.758,91.994,78.008,58,108,0,11.088,81.3,0,1.5,0.2,47.973
2016/8/13,12:00,A,86.324,93.992,80.996,58,108,0,11.088,81.3,0,2.93,0.7,59.907
2016/8/13,13:00,A,86.468,93.992,80.006,58,106,0,5.4,81.3,0,2.39,0.5,44.163
2016/8/13,14:00,A,87.098,96.998,78.998,19,103,0,7.056,81.3,0,2.82,0.9,23.634
2016/8/13,15:00,A,87.8,96.008,82.994,59,106,0,3.708,81.3,0,1.96,0.6,52.818
2016/8/13,16:00,A,87.278,95,82.994,38,105,0,7.056,81.3,0,1.88,1,48.86
2016/8/13,17:00,A,84.83,89.996,82.004,47,106,0,8.388,81.3,0,0.88,0.8,61.205
2016/8/13,18:00,A,82.706,87.998,78.998,71,106,0,12.96,81.3,0,0.21,0,49.028
2016/8/13,19:00,A,80.942,86,75.992,72,107,0,9.252,81.3,0,0.02,0,85.596
2016/8/13,20:00,B,79.61,82.994,75.992,74,108,20,5.544,81.3,0,0,0,64.205
2016/8/13,21:00,B,78.566,82.994,75.002,84,108,20,8.676,81.3,0,0,0,37.099
2016/8/13,22:00,B,77.954,82.994,75.002,78,108,20,22.212,81.3,0,0,0,72.37
2016/8/13,23:00,B,77.522,82.994,75.002,73,108,32,24.048,81.3,0,0,0,61.624
2016/8/14,0:00,B,77.09,82.994,75.002,73,107,32,9.216,81.3,0,0,0,53.818
2016/8/14,1:00,B,76.802,82.994,75.002,74,107,92,9.9,81.3,0,0,0,71.675
2016/8/14,2:00,B,76.712,82.994,73.004,84,106,92,9.576,81.3,0,0,0,62.325
2016/8/14,3:00,B,76.1,80.996,73.004,74,106,92,9.576,81.3,0,0,0,49.31
2016/8/14,4:00,B,76.226,80.996,73.004,62,107,92,9.576,81.3,0,0,0,53.954
2016/8/14,5:00,B,75.398,80.006,71.996,78,106,80,11.088,81.3,0,0,0,52.555
2016/8/14,6:00,B,75.092,78.998,73.004,87,106,80,11.088,81.3,0,0.03,0,31.169
2016/8/14,7:00,B,75.506,78.998,73.004,77,107,80,1.836,81.3,0,0.25,0,65.431
2016/8/14,8:00,B,77.144,82.994,73.004,73,107,56,16.668,81.3,0,0.4,0,27.287
2016/8/14,9:00,B,79.106,82.994,73.004,65,106,56,11.088,81.3,0,1.26,0,32.284
2016/8/14,10:00,B,80.312,84.002,75.002,61,107,56,16.668,81.1,0,1.89,0.2,60.97
2016/8/14,11:00,B,82.346,89.006,75.002,64,106,32,9.576,81.1,0,2.31,0.2,48.685
2016/8/14,12:00,B,84.452,89.996,78.008,58,105,32,9.252,81.1,0,2.89,0.7,40.908
2016/8/14,13:00,B,85.946,91.994,80.006,58,104,32,14.796,81.1,0,3.16,1,52.985
2016/8/14,14:00,A,86.468,93.992,80.006,61,103,8,10.116,81.1,0,1.9,0.4,36.461
2016/8/14,15:00,A,85.73,93.002,82.004,58,104,8,14.796,81.1,0,0.97,0,57.031
2016/8/14,16:00,A,85.55,91.994,80.996,34,103,8,10.116,81.1,0,1.69,0.8,31.608
2016/8/14,17:00,B,85.1,91.994,78.998,57,102,48,10.512,81.1,0,1.01,0.5,75.772
2016/8/14,18:00,B,82.904,89.996,78.998,69,103,48,27.756,81.1,0,0.19,0,60.335
2016/8/14,19:00,B,80.798,84.992,75.992,72,103,48,12.96,81.1,0,0.01,0,48.51
2016/8/14,20:00,B,79.232,82.994,75.992,74,104,64,24.048,81.1,0,0,0,33.071
2016/8/14,21:00,B,78.854,82.994,75.992,30,99,64,11.088,81.1,0,0,0,51.957
2016/8/14,22:00,B,77.954,80.006,75.002,86,104,24,11.196,81.1,0,0,0,51.871
2016/8/14,23:00,B,78.008,82.994,75.002,78,104,56,5.544,81.1,0,0,0,50.942
2016/8/15,0:00,B,77.468,80.996,75.002,69,105,20,13.392,81.1,0,0,0,37.638
2016/8/15,1:00,B,77.612,82.994,75.002,78,103,20,1.836,81.1,0,0,0,41.871
2016/8/15,2:00,C,77.054,80.996,75.002,78,103,80,13.248,81.1,0,0,0,51.484
2016/8/15,3:00,C,77,80.996,73.994,78,103,80,14.796,81.1,0,0,0,27.797
2016/8/15,4:00,C,76.748,80.996,73.004,71,103,80,13.248,81.1,0,0,0,50.079
2016/8/15,5:00,C,77.288,82.994,73.004,74,103,64,16.668,81.1,0,0,0,51.246
2016/8/15,6:00,C,77.234,82.994,73.004,68,102,64,7.452,81.1,0,0.02,0,41.608
2016/8/15,7:00,C,77.846,82.994,73.004,89,103,64,1.836,81.1,0,0.15,0,22.944
2016/8/15,8:00,C,79.232,82.994,75.002,78,103,92,20.34,81.1,0,0.22,0,57.3
2016/8/15,9:00,C,80.564,84.002,75.002,59,104,92,7.092,81.1,0,0.66,0,75.172
2016/8/15,10:00,C,81.608,86,78.008,58,104,92,7.092,80.9,0,0.59,0,59.6
2016/8/15,11:00,C,82.184,84.992,78.998,66,103,92,31.464,80.9,0,0.45,0,48.366
2016/8/15,12:00,C,82.67,89.996,80.006,56,102,92,14.652,80.9,0,0.5,0,34.049
2016/8/15,13:00,C,86.342,93.002,82.994,62,102,92,24.048,80.9,0,2.54,0.6,35.396
2016/8/15,14:00,C,86.576,93.002,82.994,84,101,8,3.708,80.9,0,1.46,0.1,52.518
2016/8/15,15:00,C,84.812,89.006,80.996,86,101,8,12.276,80.9,0,0.81,0,63.071
2016/8/15,16:00,C,83.534,87.998,80.006,66,102,8,33.3,80.9,0,0.53,0,50.892
2016/8/15,17:00,B,83.534,89.006,78.008,66,101,76,24.048,80.9,0,0.44,0,48.772
2016/8/15,18:00,B,82.85,89.006,78.008,56,103,76,15.516,80.9,0,0.17,0,48.838
2016/8/15,19:00,B,82.382,89.006,78.008,87,102,76,15.516,80.9,0.5,0,0,39.588
2016/8/15,20:00,C,81.248,84.992,77,66,104,32,14.796,80.9,0,0,0,63.114
2016/8/15,21:00,C,80.888,84.992,75.002,74,101,32,22.212,80.9,0,0,0,49.908
2016/8/15,22:00,C,80.474,84.992,75.002,69,104,32,14.796,80.9,0,0,0,59.644
2016/8/15,23:00,C,80.294,84.992,75.002,78,104,0,14.796,80.9,0,0,0,92.58
2016/8/16,0:00,C,79.79,84.002,75.002,78,104,8,18.504,80.9,0,0,0,33.526
2016/8/16,1:00,A,79.25,84.002,75.002,71,104,8,12.636,80.9,0,0,0,31.714
2016/8/16,2:00,B,78.854,84.002,75.002,94,104,88,12.168,80.9,0,0,0,41.186
2016/8/16,3:00,B,77.99,84.002,75.002,78,102,88,12.168,80.9,0,0,0,29.92
2016/8/16,4:00,B,77.54,84.002,73.004,88,103,88,5.544,80.9,0,0,0,56.861
2016/8/16,5:00,B,77.306,82.994,73.004,88,104,32,11.088,80.9,0,0,0,76.184
2016/8/16,6:00,B,77.504,82.994,73.004,83,103,32,6.552,80.9,0,0.15,0.4,54.059
2016/8/16,7:00,B,79.556,82.994,75.002,83,104,32,11.088,80.9,0,0.53,0.5,27.035
2016/8/16,8:00,B,82.904,89.006,77,63,105,48,11.376,80.9,0,0.78,0.1,41.407
2016/8/16,9:00,B,84.632,89.996,80.996,72,104,48,11.376,80.9,0,1.1,0.1,53.639
2016/8/16,10:00,B,85.874,91.994,82.004,74,104,48,20.34,80.7,0,1.4,0,45.332
2016/8/16,11:00,B,88.232,95,82.004,42,104,92,9.576,80.7,0,1.92,0.2,58.448
2016/8/16,12:00,B,89.384,95,82.994,76,102,92,7.416,80.7,0,2.57,0.6,32.527
2016/8/16,13:00,B,89.636,96.008,82.994,70,102,92,27.756,80.7,0,1.63,0.2,40.685
2016/8/16,14:00,C,88.808,93.992,80.996,68,103,88,16.056,80.7,0,1.13,0,74.042
2016/8/16,15:00,C,84.326,91.004,80.006,86,101,88,16.056,80.7,0.5,0.7,0,50.676
2016/8/16,16:00,C,82.58,87.998,77,66,102,88,1.836,80.7,0.5,0.66,0,42.436
2016/8/16,17:00,C,80.42,84.002,77,91,100,92,5.544,80.7,0,0.38,0,69
2016/8/16,18:00,C,80.762,87.008,75.002,75,101,92,19.296,80.7,0,0.26,0,24.114
2016/8/16,19:00,C,80.204,84.002,75.992,88,99,92,9.252,80.7,2,0.08,0,46.207
2016/8/16,20:00,C,79.016,84.992,77,94,98,92,49.968,80.7,11,0,0,49.728
2016/8/16,21:00,C,77.828,82.994,75.992,93,99,92,27.756,80.7,8.5,0,0,43.838
2016/8/16,22:00,C,77.414,82.994,73.994,93,97,92,17.316,80.7,5.5,0,0,44.748
2016/8/16,23:00,C,77.162,82.994,73.004,94,94,100,51.804,80.7,0.5,0,0,41.484
2016/8/17,0:00,C,76.442,82.994,73.004,92,95,100,21.96,80.7,4.5,0,0,12.741
2016/8/17,1:00,C,75.938,82.994,73.004,0,91,100,51.804,80.7,7,0,0,41.406
2016/8/17,2:00,C,76.748,82.994,73.994,93,91,100,45.576,80.7,6,0,0,72.403
2016/8/17,3:00,C,77.684,82.994,73.994,96,92,100,45.576,80.7,0,0,0,43.013
2016/8/17,4:00,C,78.008,82.994,73.994,83,92,100,35.172,80.7,0,0,0,51.617
2016/8/17,5:00,C,77.594,82.994,73.004,80,94,92,41.256,80.7,1,0,0,63.587
2016/8/17,6:00,C,77.648,84.002,73.004,81,95,92,41.256,80.7,0,0.07,0,44.844
2016/8/17,7:00,C,78.728,82.994,73.004,83,94,92,7.416,80.7,0,0.58,0.3,65.815
2016/8/17,8:00,C,82.796,91.004,75.002,59,95,64,8.316,80.7,0,1.5,1,32.62
2016/8/17,9:00,C,87.332,93.002,80.996,66,96,64,24.048,80.7,0,2.16,1,51.834
2016/8/17,10:00,C,89.402,96.008,82.994,63,96,64,29.592,80.5,0,2.68,1,69.798
2016/8/17,11:00,A,91.256,96.998,86,38,98,0,19.692,80.5,0,3.03,1,36.989
2016/8/17,12:00,A,91.994,98.996,86,37,99,0,1.836,80.5,0,3.19,1,48.831
2016/8/17,13:00,A,91.814,100.004,82.994,70,98,0,46.26,80.5,0,3.22,1,31.448
2016/8/17,14:00,A,91.994,98.996,82.994,39,99,0,3.708,80.5,0,2.41,0.9,36.221
2016/8/17,15:00,A,90.356,100.004,82.994,81,98,0,9.252,80.5,0,2.52,1,61.963
2016/8/17,16:00,A,88.772,93.002,82.994,79,99,0,49.968,80.5,0,1.73,1,50.523
2016/8/17,17:00,A,87.242,91.004,82.994,79,99,0,49.968,80.5,0,0.91,0.7,35.884
2016/8/17,18:00,A,85.964,91.004,82.994,83,100,0,49.968,80.5,0,0.15,0.1,70.808
2016/8/17,19:00,A,85.1,91.004,82.004,76,103,0,23.832,80.5,0,0.01,0,70.688
2016/8/17,20:00,B,84.11,87.998,82.004,78,104,12,22.536,80.5,0,0,0,70.06
2016/8/17,21:00,B,83.624,84.992,82.004,93,103,12,22.536,80.5,0,0,0,38.611
2016/8/17,22:00,B,83.48,87.998,80.996,88,103,44,31.464,80.5,0,0,0,29.994
2016/8/17,23:00,B,83.102,87.008,80.996,80,105,44,17.568,80.5,0,0,0,43.73
2016/8/18,0:00,B,83.102,87.998,80.006,92,103,44,17.568,80.5,0,0,0,47.611
2016/8/18,1:00,A,82.67,87.008,80.006,78,104,8,16.776,80.5,0,0,0,57.203
2016/8/18,2:00,C,82.436,87.008,80.996,91,103,68,8.676,80.5,0,0,0,25.951
2016/8/18,3:00,C,81.896,86,78.008,94,104,68,16.668,80.5,0,0,0,40.853
2016/8/18,4:00,C,81.32,84.992,78.008,92,104,68,8.676,80.5,0,0,0,50.751
2016/8/18,5:00,C,80.942,84.992,78.008,92,105,88,5.832,80.5,0,0,0,53.061
2016/8/18,6:00,C,80.312,84.992,78.008,88,105,88,18.504,80.5,3,0.03,0,60.403
2016/8/18,7:00,C,80.276,84.002,78.008,88,105,88,20.34,80.5,0.5,0.12,0,67.962
2016/8/18,8:00,C,81.626,86,78.998,78,105,88,6.732,80.5,0,0.43,0,60.715
2016/8/18,9:00,C,84.38,91.004,80.006,79,104,88,11.088,80.5,0,1.07,0.3,74.88
2016/8/18,10:00,C,87.53,96.008,82.004,88,105,88,6.732,80.3,0,2.2,0.7,61.158
2016/8/18,11:00,C,87.746,93.992,82.004,76,105,44,7.992,80.3,0,1.08,0,27.667
2016/8/18,12:00,C,87.152,95,77,47,107,44,7.992,80.3,0,0.86,0,44.688
2016/8/18,13:00,C,85.586,91.994,77,84,104,44,1.836,80.3,0,1.2,0.1,45.614
2016/8/18,14:00,C,84.578,91.004,77,66,105,68,38.844,80.3,18.5,0.1,0,61.459
2016/8/18,15:00,C,83.444,91.994,77,74,105,68,27.756,80.3,16,0.03,0,39.646
2016/8/18,16:00,C,82.04,89.006,77,81,107,68,10.692,80.3,12.5,0.03,0,31.15
2016/8/18,17:00,C,81.5,87.998,77,97,105,88,8.676,80.3,3,0.1,0,52.615
2016/8/18,18:00,C,81.05,84.992,77,88,106,88,8.676,80.3,0,0.14,0,36.857
2016/8/18,19:00,C,80.744,84.002,77,97,106,88,8.676,80.3,0,0.01,0,38.863
2016/8/18,20:00,C,80.546,84.002,77,90,108,88,6.372,80.3,0,0,0,59.571
2016/8/18,21:00,C,80.42,82.994,77,89,108,88,6.372,80.3,10,0,0,22.486
2016/8/18,22:00,C,80.546,82.994,77,94,104,32,20.34,80.3,3.5,0,0,50.887
2016/8/18,23:00,C,80.168,82.994,77,98,107,12,3.816,80.3,0,0,0,63.162
2016/8/19,0:00,C,79.718,82.994,77,98,107,12,3.816,80.3,0,0,0,55.58
2016/8/19,1:00,C,79.844,82.994,77,91,108,12,3.816,80.3,2,0,0,70.079
2016/8/19,2:00,C,79.304,84.002,75.992,92,108,56,5.796,80.3,1.5,0,0,35.744
2016/8/19,3:00,C,78.836,82.994,75.002,98,106,56,5.796,80.3,1.5,0,0,38.793
2016/8/19,4:00,C,78.692,82.994,75.002,0,107,56,16.668,80.3,0,0,0,61.192
2016/8/19,5:00,C,78.638,82.994,75.002,0,107,64,18.504,80.3,0,0,0,58.07
2016/8/19,6:00,C,78.8,82.994,75.002,91,108,64,5.436,80.3,0,0.08,0,60.993
2016/8/19,7:00,C,80.096,82.994,77,94,107,64,16.668,80.3,0,0.74,0.7,62.268
2016/8/19,8:00,B,81.68,87.008,78.008,83,107,76,14.796,80.3,0,1.46,1,62.07
2016/8/19,9:00,B,83.75,91.004,78.008,78,108,76,22.212,80.3,0,1.31,0.4,37.544
2016/8/19,10:00,B,85.334,91.994,78.008,87,107,76,9.072,80.1,0,2.26,0.7,49.455
2016/8/19,11:00,B,87.242,91.994,82.994,80,107,44,16.668,80.1,0,2.45,0.6,70.312
2016/8/19,12:00,B,88.358,96.008,82.004,59,107,44,3.708,80.1,0,3.26,0.9,46.687
2016/8/19,13:00,B,89.996,98.006,82.994,66,106,44,31.464,80.1,0,2.81,0.8,59.587
2016/8/19,14:00,B,89.888,96.998,82.994,39,108,36,17.208,80.1,0,1.41,0.1,23.644
2016/8/19,15:00,B,89.006,96.998,82.994,70,106,36,37.008,80.1,0,1.96,0.6,47.38
2016/8/19,16:00,B,88.214,95,82.004,52,107,36,17.208,80.1,0,1.2,0.4,70.377
2016/8/19,17:00,B,86.054,93.002,80.996,68,108,92,3.708,80.1,0,0.51,0.2,42.132
2016/8/19,18:00,B,84.056,87.998,80.006,67,108,92,20.052,80.1,0,0.31,0.5,53.569
2016/8/19,19:00,B,82.94,87.008,78.998,72,108,92,20.052,80.1,0,0.01,0,60.251
2016/8/19,20:00,C,82.22,86,80.006,91,107,92,19.836,80.1,0,0,0,42.422
2016/8/19,21:00,C,80.996,84.992,77,94,107,92,21.528,80.1,0,0,0,32.672
2016/8/19,22:00,C,80.312,84.002,78.008,86,108,92,19.836,80.1,0,0,0,50.359
2016/8/19,23:00,C,79.844,82.994,78.008,86,107,88,25.92,80.1,0,0,0,43.789
2016/8/20,0:00,C,79.808,82.994,77,94,107,88,35.172,80.1,0,0,0,37.234
2016/8/20,1:00,C,79.502,82.994,77,82,107,88,18.396,80.1,0,0,0,61.879
2016/8/20,2:00,C,78.692,80.996,77,95,106,88,7.416,80.1,0,0,0,29.45
2016/8/20,3:00,C,78.314,80.996,77,89,105,88,19.296,80.1,0,0,0,39.155
2016/8/20,4:00,C,78.044,80.996,75.002,94,105,88,31.464,80.1,0,0,0,31.691
2016/8/20,5:00,C,77.828,80.006,75.002,94,105,92,18.756,80.1,0,0,0,64.263
2016/8/20,6:00,C,76.946,80.006,75.002,97,106,92,18.756,80.1,15,0.02,0,61.523
2016/8/20,7:00,C,77.468,82.004,75.002,92,105,92,18.756,80.1,10.5,0.23,0,58.484
2016/8/20,8:00,C,78.008,82.994,75.002,92,105,80,17.748,80.1,0.5,0.32,0,36.682
2016/8/20,9:00,C,78.242,80.996,75.992,98,105,80,17.748,80.1,1,0.39,0,73.957
2016/8/20,10:00,C,79.142,82.994,75.002,92,105,80,17.748,79.9,9.5,0.26,0,67.416
2016/8/20,11:00,C,78.692,82.994,75.002,92,105,68,17.676,79.9,40,0.08,0,39.399
2016/8/20,12:00,C,80.996,89.006,75.002,88,104,68,17.676,79.9,0.5,1.4,0.3,56.149
2016/8/20,13:00,C,82.958,89.996,77,93,104,68,17.676,79.9,0,2.49,0.6,29.993
2016/8/20,14:00,C,85.316,91.994,80.006,55,103,88,15.156,79.9,0,1.6,0.2,23.375
2016/8/20,15:00,C,83.39,89.006,77,65,102,88,5.544,79.9,0,1.29,0.3,47.284
2016/8/20,16:00,C,82.04,87.998,77,73,102,88,15.156,79.9,1.5,0.55,0.2,56.749
2016/8/20,17:00,C,81.662,87.008,77,83,104,92,20.34,79.9,0,0.24,0,39.098
2016/8/20,18:00,C,80.096,84.992,75.002,89,103,92,16.776,79.9,1.5,0.19,0,52.884
2016/8/20,19:00,C,78.854,82.994,75.002,96,104,92,16.776,79.9,2,0,0,39.499
2016/8/20,20:00,C,78.962,84.002,75.002,83,103,88,16.488,79.9,0,0,0,32.496
2016/8/20,21:00,C,78.602,82.994,75.002,83,103,88,16.488,79.9,0,0,0,61.765
2016/8/20,22:00,C,78.476,82.994,75.002,88,104,88,16.668,79.9,0,0,0,62.54
2016/8/20,23:00,C,78.35,82.994,75.002,97,104,68,6.876,79.9,0,0,0,49.538
2016/8/21,0:00,C,78.134,82.994,75.002,97,104,88,12.852,79.9,0,0,0,28.022
2016/8/21,1:00,C,77.396,82.004,73.994,87,103,68,6.876,79.9,0,0,0,90.589
2016/8/21,2:00,B,77,82.004,73.004,94,104,75,11.16,79.9,0,0,0,42.679
2016/8/21,3:00,B,76.712,82.004,73.004,94,104,75,9.36,79.9,0,0,0,36.887
2016/8/21,4:00,B,76.19,80.996,71.996,94,104,40,5.4,79.9,0,0,0,28.15
2016/8/21,5:00,B,76.406,80.996,71.996,88,105,75,7.56,79.9,0,0,0,43.827
2016/8/21,6:00,B,77.432,80.996,73.004,94,105,75,7.56,79.9,0,0.11,0,40.503
2016/8/21,7:00,B,79.124,82.994,73.004,88,105,75,11.16,79.9,0,0.85,1,38.738
2016/8/21,8:00,C,82.022,87.008,77,78,106,75,18.36,79.9,0,1.45,0.9,38.343
2016/8/21,9:00,B,84.452,89.996,78.998,74,106,75,20.52,79.9,0,2.02,1,44.263
2016/8/21,10:00,B,84.74,89.006,78.008,74,106,75,18.36,79.7,0,1.86,0.9,36.301
2016/8/21,11:00,B,86.81,89.996,80.996,66,106,75,18.36,79.7,0,2.46,0.8,48.573
2016/8/21,12:00,B,88.304,91.994,80.996,66,105,75,22.32,79.7,0,3.6,1,39.446
2016/8/21,13:00,B,90.122,96.998,80.996,59,105,40,22.32,79.7,0,3.28,1,49.268
2016/8/21,14:00,B,90.644,100.004,80.996,66,105,75,24.12,79.7,0,2.64,0.8,33.041
2016/8/21,15:00,B,89.51,98.006,80.996,70,105,75,25.92,79.7,0,1.27,0.3,31.548
2016/8/21,16:00,B,86.864,91.994,80.996,74,106,75,24.12,79.7,0,0.72,0,43.586
2016/8/21,17:00,B,86.18,91.994,80.996,74,105,75,16.56,79.7,0,0.54,0,45.03
2016/8/21,18:00,B,84.794,87.998,80.996,83,106,75,16.56,79.7,0,0.18,0.1,51.226
2016/8/21,19:00,B,83.984,89.006,80.996,88,106,75,14.76,79.7,0,0.02,0.1,41.848
2016/8/21,20:00,B,83.354,89.006,80.006,88,106,75,9.36,79.7,0,0,0,48.051
2016/8/21,21:00,B,83.21,89.006,80.006,94,107,75,12.96,79.7,0,0,0,50.657
2016/8/21,22:00,B,83.192,89.006,80.006,94,107,75,9.36,79.7,0,0,0,48.294
2016/8/21,23:00,C,82.544,84.992,80.006,94,106,75,12.96,79.7,0,0,0,32.883
2016/8/22,0:00,B,82.148,84.992,78.8,94,106,75,12.96,79.7,0,0,0,67.539
2016/8/22,1:00,C,81.302,84.002,78.008,100,105,75,20.52,79.7,5,0,0,37.751
2016/8/22,2:00,C,80.474,82.994,77,100,105,40,16.56,79.7,0,0,0,37.091
2016/8/22,3:00,C,80.42,84.002,77,100,105,75,16.56,79.7,0,0,0,79.303
2016/8/22,4:00,B,80.312,84.002,77,94,104,75,18.36,79.7,0,0,0,27.739
2016/8/22,5:00,C,80.078,84.002,77,94,104,75,20.52,79.7,0,0,0,68.53
2016/8/22,6:00,C,80.168,84.992,77,94,104,75,27.72,79.7,1,0.01,0,28.62
2016/8/22,7:00,C,79.592,82.994,77,94,103,75,29.52,79.7,1.5,0.08,0,24.226
2016/8/22,8:00,C,79.844,84.002,77,94,103,75,33.48,79.7,5,0.04,0,37.256
2016/8/22,9:00,C,79.07,82.994,75.992,100,100,75,40.68,79.7,10.5,0.05,0,64.36
2016/8/22,10:00,C,79.088,84.992,75.002,100,98,75,50.04,79.5,15.5,0.07,0,67.118
