レシートNo,年月日時分,年月日,年月,年,月,日,曜日,時間帯,時間,商品大分類,商品中分類,商品小分類,商品単価,商品数量,合計金額
536388,2010/12/1 9:59,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:59,野菜・海藻,乾物・海藻,干しのり,53,12,636
536390,2010/12/1 10:19,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,10時台,10:19,果物,生鮮果物,ぶどう,619,40,24760
536396,2010/12/1 10:51,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,10時台,10:51,魚介類,他の魚介加工品,魚介のつくだ煮,531,6,3186
536396,2010/12/1 10:51,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,10時台,10:51,野菜・海藻,生鮮野菜,だいこん,133,6,798
536396,2010/12/1 10:51,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,10時台,10:51,乳卵類,卵,卵,319,6,1914
536398,2010/12/1 10:52,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,10時台,10:52,魚介類,塩干魚介,干しあじ,369,6,2214
536401,2010/12/1 11:21,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:21,果物,生鮮果物,りんご,106,9,954
536404,2010/12/1 11:29,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:29,果物,生鮮果物,りんご,106,12,1272
536404,2010/12/1 11:29,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:29,果物,生鮮果物,なし,156,12,1872
536406,2010/12/1 11:33,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:33,魚介類,生鮮魚介,さば,424,8,3392
536406,2010/12/1 11:33,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:33,野菜・海藻,生鮮野菜,だいこん,133,6,798
536406,2010/12/1 11:33,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:33,野菜・海藻,生鮮野菜,じゃがいも,263,6,1578
536408,2010/12/1 11:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:41,果物,生鮮果物,りんご,106,36,3816
536408,2010/12/1 11:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:41,肉類,加工肉,ハム,244,12,2928
536408,2010/12/1 11:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:41,魚介類,他の魚介加工品,魚介のつくだ煮,531,4,2124
536409,2010/12/1 11:45,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:45,魚介類,塩干魚介,干しあじ,369,1,369
536412,2010/12/1 11:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:49,果物,生鮮果物,なし,156,6,936
536412,2010/12/1 11:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:49,魚介類,塩干魚介,干しあじ,369,1,369
536412,2010/12/1 11:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:49,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,5,1030
536412,2010/12/1 11:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:49,魚介類,塩干魚介,干しあじ,369,1,369
536412,2010/12/1 11:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:49,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
536415,2010/12/1 11:57,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:57,乳卵類,乳製品,バター,469,2,938
536415,2010/12/1 11:57,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:57,果物,生鮮果物,りんご,106,5,530
536415,2010/12/1 11:57,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:57,魚介類,生鮮魚介,さしみ盛合わせ,1063,3,3189
536415,2010/12/1 11:57,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:57,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,3,618
536415,2010/12/1 11:57,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:57,乳卵類,乳製品,バター,469,2,938
536416,2010/12/1 11:58,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,11時台,11:58,魚介類,塩干魚介,干しあじ,369,6,2214
536420,2010/12/1 12:03,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:03,乳卵類,卵,卵,319,6,1914
536423,2010/12/1 12:08,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:08,乳卵類,乳製品,バター,469,8,3752
536425,2010/12/1 12:08,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:08,果物,生鮮果物,ぶどう,619,8,4952
536425,2010/12/1 12:08,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:08,野菜・海藻,生鮮野菜,にんじん,181,12,2172
536446,2010/12/1 12:15,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:15,肉類,加工肉,ハム,244,3,732
536446,2010/12/1 12:15,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:15,果物,生鮮果物,なし,156,6,936
536464,2010/12/1 12:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:23,肉類,加工肉,ハム,244,2,488
536464,2010/12/1 12:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:23,魚介類,塩干魚介,干しあじ,369,1,369
536464,2010/12/1 12:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:23,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
536464,2010/12/1 12:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:23,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
536464,2010/12/1 12:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:23,果物,生鮮果物,りんご,106,3,318
536464,2010/12/1 12:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:23,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
536464,2010/12/1 12:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:23,野菜・海藻,乾物・海藻,他の乾物・海藻,69,1,69
536477,2010/12/1 12:27,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:27,野菜・海藻,生鮮野菜,じゃがいも,263,12,3156
536488,2010/12/1 12:31,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:31,果物,生鮮果物,なし,156,1,156
536488,2010/12/1 12:31,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:31,魚介類,他の魚介加工品,魚介のつくだ煮,531,1,531
536500,2010/12/1 12:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:35,乳卵類,乳製品,バター,469,2,938
536520,2010/12/1 12:43,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:43,乳卵類,卵,卵,319,3,957
536520,2010/12/1 12:43,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:43,乳卵類,卵,卵,319,3,957
536520,2010/12/1 12:43,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:43,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
536520,2010/12/1 12:43,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:43,乳卵類,卵,卵,319,1,319
536520,2010/12/1 12:43,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:43,果物,生鮮果物,なし,156,2,312
536522,2010/12/1 12:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:49,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
536522,2010/12/1 12:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:49,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
536522,2010/12/1 12:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:49,魚介類,塩干魚介,干しあじ,369,1,369
536522,2010/12/1 12:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:49,魚介類,塩干魚介,干しあじ,369,1,369
536522,2010/12/1 12:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:49,果物,生鮮果物,りんご,106,1,106
536522,2010/12/1 12:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:49,魚介類,魚肉練製品,ちくわ,81,12,972
536523,2010/12/1 12:50,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:50,果物,生鮮果物,ぶどう,619,3,1857
536524,2010/12/1 12:51,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,12時台,12:51,魚介類,塩干魚介,干しあじ,369,6,2214
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,魚介類,塩干魚介,干しあじ,369,1,369
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,野菜・海藻,生鮮野菜,じゃがいも,263,2,526
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,果物,生鮮果物,なし,156,1,156
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,肉類,加工肉,ハム,244,1,244
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,2,412
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,2,412
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,野菜・海藻,乾物・海藻,干しのり,53,12,636
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,魚介類,塩干魚介,干しあじ,369,4,1476
536528,2010/12/1 13:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:17,魚介類,塩干魚介,干しあじ,369,1,369
536530,2010/12/1 13:21,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:21,果物,生鮮果物,ぶどう,619,2,1238
536530,2010/12/1 13:21,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:21,野菜・海藻,生鮮野菜,にんじん,181,6,1086
536531,2010/12/1 13:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:23,野菜・海藻,乾物・海藻,干しのり,53,25,1325
536531,2010/12/1 13:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:23,魚介類,生鮮魚介,かに,1244,6,7464
536531,2010/12/1 13:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:23,乳卵類,乳製品,バター,469,9,4221
536531,2010/12/1 13:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:23,乳卵類,卵,卵,319,80,25520
536531,2010/12/1 13:23,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:23,野菜・海藻,乾物・海藻,干しのり,53,25,1325
536532,2010/12/1 13:24,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:24,野菜・海藻,生鮮野菜,レタス,186,24,4464
536532,2010/12/1 13:24,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:24,野菜・海藻,乾物・海藻,他の乾物・海藻,69,24,1656
536532,2010/12/1 13:24,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:24,果物,生鮮果物,なし,156,12,1872
536532,2010/12/1 13:24,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:24,果物,果物加工品,果物加工品,994,2,1988
536532,2010/12/1 13:24,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:24,肉類,生鮮肉,他の生鮮肉,844,6,5064
536532,2010/12/1 13:24,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:24,野菜・海藻,生鮮野菜,じゃがいも,263,12,3156
536533,2010/12/1 13:31,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:31,果物,生鮮果物,なし,156,20,3120
536535,2010/12/1 13:38,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:38,魚介類,生鮮魚介,ぶり,744,3,2232
536535,2010/12/1 13:38,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:38,果物,生鮮果物,ぶどう,619,3,1857
536535,2010/12/1 13:38,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:38,果物,生鮮果物,りんご,106,24,2544
536535,2010/12/1 13:38,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:38,果物,生鮮果物,ぶどう,619,3,1857
536536,2010/12/1 13:45,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:45,果物,生鮮果物,ぶどう,619,3,1857
536537,2010/12/1 13:51,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,13時台,13:51,魚介類,塩干魚介,干しあじ,369,8,2952
536539,2010/12/1 14:03,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:03,果物,果物加工品,果物加工品,994,2,1988
536539,2010/12/1 14:03,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:03,魚介類,塩干魚介,干しあじ,369,6,2214
536540,2010/12/1 14:05,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:05,果物,生鮮果物,りんご,106,50,5300
536540,2010/12/1 14:05,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:05,肉類,加工肉,ハム,244,12,2928
536542,2010/12/1 14:11,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:11,肉類,加工肉,ハム,244,40,9760
536551,2010/12/1 14:34,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:34,果物,生鮮果物,なし,156,1,156
536551,2010/12/1 14:34,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:34,肉類,加工肉,ハム,244,1,244
536557,2010/12/1 14:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:41,果物,生鮮果物,りんご,106,11,1166
536557,2010/12/1 14:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:41,乳卵類,乳製品,バター,469,1,469
536557,2010/12/1 14:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:41,果物,生鮮果物,なし,156,1,156
536557,2010/12/1 14:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,14時台,14:41,果物,生鮮果物,ぶどう,619,7,4333
536561,2010/12/1 15:06,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:06,野菜・海藻,生鮮野菜,じゃがいも,263,12,3156
536561,2010/12/1 15:06,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:06,乳卵類,乳製品,バター,469,4,1876
536561,2010/12/1 15:06,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:06,野菜・海藻,生鮮野菜,じゃがいも,263,12,3156
536563,2010/12/1 15:08,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:08,魚介類,塩干魚介,干しあじ,369,4,1476
536562,2010/12/1 15:08,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:08,魚介類,塩干魚介,干しあじ,369,6,2214
536566,2010/12/1 15:21,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:21,果物,生鮮果物,なし,156,9,1404
536569,2010/12/1 15:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:35,乳卵類,卵,卵,319,1,319
536569,2010/12/1 15:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:35,魚介類,生鮮魚介,たい,869,1,869
536569,2010/12/1 15:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:35,果物,果物加工品,果物加工品,994,1,994
536569,2010/12/1 15:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:35,果物,生鮮果物,なし,156,1,156
536569,2010/12/1 15:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:35,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
536571,2010/12/1 15:37,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:37,肉類,加工肉,ハム,244,10,2440
536572,2010/12/1 15:40,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:40,果物,生鮮果物,りんご,106,24,2544
536572,2010/12/1 15:40,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:40,肉類,生鮮肉,他の生鮮肉,844,10,8440
536573,2010/12/1 15:45,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,15時台,15:45,野菜・海藻,他の野菜・海藻加工品,こんにゃく,119,12,1428
536575,2010/12/1 16:01,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:01,果物,生鮮果物,みかん,575,48,27600
536579,2010/12/1 16:16,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:16,野菜・海藻,生鮮野菜,にんじん,181,60,10860
536580,2010/12/1 16:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:17,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
536580,2010/12/1 16:17,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:17,果物,生鮮果物,なし,156,12,1872
536582,2010/12/1 16:21,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:21,野菜・海藻,生鮮野菜,にんじん,181,12,2172
536582,2010/12/1 16:21,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:21,野菜・海藻,乾物・海藻,干しのり,53,24,1272
536586,2010/12/1 16:25,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:25,乳卵類,乳製品,バター,469,8,3752
536588,2010/12/1 16:49,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:49,野菜・海藻,生鮮野菜,にんじん,181,12,2172
536591,2010/12/1 16:57,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,16時台,16:57,果物,生鮮果物,りんご,106,12,1272
536595,2010/12/1 17:24,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,17時台,17:24,魚介類,生鮮魚介,ぶり,744,4,2976
536597,2010/12/1 17:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,17時台,17:35,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,2,412
536597,2010/12/1 17:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,17時台,17:35,魚介類,生鮮魚介,いわし,406,1,406
536597,2010/12/1 17:35,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,17時台,17:35,魚介類,他の魚介加工品,魚介のつくだ煮,531,1,531
536600,2010/12/2 8:32,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,08時台,8:32,魚介類,生鮮魚介,さば,424,6,2544
536604,2010/12/2 8:43,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,08時台,8:43,果物,生鮮果物,りんご,106,12,1272
536605,2010/12/2 8:52,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,08時台,8:52,魚介類,塩干魚介,干しあじ,369,6,2214
536605,2010/12/2 8:52,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,08時台,8:52,魚介類,塩干魚介,干しあじ,369,6,2214
536607,2010/12/2 9:29,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,09時台,9:29,魚介類,生鮮魚介,かに,1244,2,2488
536609,2010/12/2 9:41,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,09時台,9:41,魚介類,生鮮魚介,たい,869,4,3476
536609,2010/12/2 9:41,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,09時台,9:41,魚介類,生鮮魚介,さば,424,6,2544
536611,2010/12/2 9:43,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,09時台,9:43,果物,生鮮果物,なし,156,12,1872
536613,2010/12/2 9:44,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,09時台,9:44,野菜・海藻,乾物・海藻,干しのり,53,24,1272
536613,2010/12/2 9:44,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,09時台,9:44,野菜・海藻,乾物・海藻,干しのり,53,12,636
536615,2010/12/2 10:09,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:09,魚介類,生鮮魚介,かに,1244,2,2488
536615,2010/12/2 10:09,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:09,魚介類,生鮮魚介,ぶり,744,3,2232
536618,2010/12/2 10:17,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:17,野菜・海藻,乾物・海藻,干しのり,53,40,2120
536618,2010/12/2 10:17,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:17,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,24,4944
536617,2010/12/2 10:17,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:17,果物,生鮮果物,なし,156,12,1872
536620,2010/12/2 10:27,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:27,野菜・海藻,生鮮野菜,にんじん,181,12,2172
536623,2010/12/2 10:39,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:39,果物,生鮮果物,なし,156,12,1872
536623,2010/12/2 10:39,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:39,野菜・海藻,乾物・海藻,干しのり,53,12,636
536624,2010/12/2 10:45,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:45,果物,生鮮果物,なし,156,12,1872
536628,2010/12/2 10:54,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:54,魚介類,生鮮魚介,さば,424,6,2544
536628,2010/12/2 10:54,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,10時台,10:54,魚介類,生鮮魚介,たい,869,2,1738
536632,2010/12/2 11:02,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,11時台,11:02,果物,生鮮果物,なし,156,12,1872
536632,2010/12/2 11:02,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,11時台,11:02,魚介類,生鮮魚介,かに,1244,1,1244
536632,2010/12/2 11:02,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,11時台,11:02,果物,生鮮果物,もも,431,4,1724
536632,2010/12/2 11:02,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,11時台,11:02,野菜・海藻,生鮮野菜,にんじん,181,12,2172
536633,2010/12/2 11:20,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,11時台,11:20,果物,生鮮果物,なし,156,6,936
536633,2010/12/2 11:20,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,11時台,11:20,魚介類,魚肉練製品,ちくわ,81,2,162
536633,2010/12/2 11:20,2010年-12月-02日,2010年-12月,2010年,12月,02日,4_木曜日,11時台,11:20,魚介類,魚肉練製品,ちくわ,81,2,162
