注文番号,店舗名,来店曜日,来店時間帯,滞留時間,性別,年齢層,年齢,合計金額,フラグ
531,01A,03水,01朝,195.94,01男,03青年,34,685,0
534,01A,01月,02日中,185.44,01男,05壮年,68,469,0
539,01A,03水,01朝,829.67,01男,04中年,60,397,0
545,01A,03水,03夜間,378.84,01男,03青年,19,332,0
552,01A,01月,03夜間,2584,01男,01小児,10,164,0
556,01A,04木,02日中,1007.75,01男,05壮年,90,130,0
564,01A,01月,01朝,895.92,01男,03青年,26,458,0
576,01A,03水,03夜間,410.05,01男,03青年,19,602,0
583,01A,05金,01朝,273.23,01男,01小児,9,537,0
591,01A,04木,03夜間,276.5,01男,04中年,39,1098,0
595,01A,03水,03夜間,193.72,01男,05壮年,63,1482,0
598,01A,01月,02日中,581.54,01男,02中高生,18,272,0
603,01A,06土,03夜間,323.4,01男,05壮年,95,377,0
610,01A,07日,03夜間,1094.5,01男,05壮年,76,1937,0
613,01A,03水,03夜間,835.91,01男,05壮年,76,614,0
614,01A,07日,02日中,964.46,01男,05壮年,85,215,0
615,01A,04木,03夜間,109.92,01男,04中年,47,764,0
628,01A,06土,02日中,1084.78,01男,03青年,25,274,0
637,01A,06土,02日中,775.29,01男,03青年,30,479,0
643,01A,03水,03夜間,817.86,01男,05壮年,63,641,0
651,01A,04木,01朝,1232.81,01男,02中高生,17,535,0
654,01A,03水,03夜間,906,01男,02中高生,18,272,0
656,01A,02火,02日中,1133.67,01男,05壮年,69,520,0
673,01A,06土,02日中,1016.18,01男,04中年,52,309,0
676,01A,03水,03夜間,208.9,01男,03青年,27,160,0
677,01A,05金,03夜間,160.45,01男,04中年,41,720,0
678,01A,06土,03夜間,77.94,01男,03青年,22,958,0
683,01A,02火,03夜間,598.62,01男,04中年,55,1043,0
691,01A,04木,02日中,1119.13,01男,01小児,11,244,0
693,01A,05金,01朝,67.81,01男,04中年,48,559,0
705,01A,01月,03夜間,272.65,01男,03青年,19,510,0
714,01A,05金,03夜間,222.11,01男,04中年,47,1485,0
726,01A,05金,03夜間,713.44,01男,04中年,42,1835,0
738,01A,04木,03夜間,73.18,01男,04中年,44,1329,0
739,01A,04木,02日中,1047.05,01男,01小児,4,225,0
740,01A,04木,02日中,835.6,01男,03青年,29,463,0
743,01A,01月,03夜間,2139,01男,02中高生,17,171,0
751,01A,05金,03夜間,230.46,01男,03青年,20,396,0
755,01A,07日,02日中,485.57,01男,04中年,41,420,0
756,01A,04木,02日中,252.71,01男,02中高生,17,556,0
757,01A,06土,03夜間,201.12,01男,04中年,43,481,0
759,01A,04木,01朝,402.52,01男,04中年,45,417,0
769,01A,04木,02日中,187.25,01男,02中高生,18,502,0
770,01A,02火,02日中,584.98,01男,03青年,21,603,0
773,01A,06土,03夜間,955.24,01男,03青年,33,1494,0
788,01A,02火,03夜間,287.17,01男,04中年,47,152,0
799,01A,04木,03夜間,1172,01男,01小児,11,137,0
806,01A,04木,02日中,795.33,01男,03青年,32,302,0
808,01A,04木,02日中,269.13,01男,01小児,11,224,0
811,01A,04木,03夜間,62,01男,02中高生,15,384,0
818,01A,07日,03夜間,666.28,01男,01小児,9,215,0
822,01A,06土,02日中,850.7,01男,04中年,60,312,0
827,01A,04木,01朝,1143.29,01男,04中年,52,427,0
828,01A,01月,03夜間,333.09,01男,03青年,19,277,0
834,01A,07日,01朝,382.53,01男,04中年,41,572,0
838,01A,05金,03夜間,488.66,01男,03青年,24,1635,0
859,01A,07日,03夜間,333.47,01男,05壮年,67,564,0
862,01A,07日,03夜間,83.71,01男,04中年,43,297,0
870,01A,03水,02日中,692.01,01男,04中年,51,426,0
909,01A,01月,03夜間,105.54,01男,03青年,22,560,0
915,01A,03水,03夜間,661.48,01男,02中高生,13,328,0
917,01A,02火,03夜間,449.09,01男,04中年,49,359,0
921,01A,07日,01朝,643.31,01男,02中高生,14,597,0
923,01A,05金,02日中,153.33,01男,04中年,39,454,0
927,01A,05金,03夜間,995.67,01男,03青年,35,867,0
928,01A,03水,02日中,695.85,01男,02中高生,18,452,0
932,01A,04木,01朝,455.58,01男,03青年,26,531,0
941,01A,01月,01朝,306.97,01男,03青年,21,599,0
946,01A,02火,02日中,666.5,01男,03青年,19,784,0
947,01A,03水,03夜間,141.86,01男,03青年,35,896,0
952,01A,06土,03夜間,2591,01男,02中高生,17,289,0
955,01A,03水,01朝,121.25,01男,04中年,39,223,0
957,01A,04木,02日中,1035.83,01男,04中年,53,235,0
959,01A,02火,03夜間,289.01,01男,05壮年,63,519,0
966,01A,05金,03夜間,351.29,01男,03青年,20,827,0
968,01A,06土,01朝,348.07,01男,05壮年,63,139,0
973,01A,05金,02日中,985.84,01男,04中年,58,407,0
975,01A,07日,02日中,495.64,01男,05壮年,99,442,0
982,01A,02火,02日中,775.49,01男,01小児,10,52,0
983,01A,04木,01朝,1414.71,01男,02中高生,16,372,0
986,01A,01月,01朝,851.01,01男,03青年,19,356,0
988,01A,04木,01朝,1009.08,01男,04中年,40,405,0
1004,01A,07日,03夜間,356.66,01男,04中年,36,1439,0
1007,01A,07日,01朝,233.93,01男,04中年,42,190,0
1018,01A,06土,02日中,411.84,01男,03青年,35,502,0
1025,01A,02火,01朝,226.42,01男,03青年,21,207,0
1029,01A,04木,01朝,246.28,01男,01小児,9,627,0
1034,01A,05金,03夜間,783,01男,02中高生,15,435,0
1047,01A,03水,01朝,743.34,01男,03青年,22,507,0
1053,01A,01月,01朝,82.38,01男,04中年,44,813,0
1060,01A,03水,03夜間,35.13,01男,03青年,19,53,0
1061,01A,02火,03夜間,489.33,01男,04中年,44,830,0
1065,01A,06土,02日中,1599.97,01男,01小児,12,103,0
1066,01A,06土,03夜間,197,01男,02中高生,13,330,0
1068,01A,01月,03夜間,888,01男,02中高生,16,211,0
1070,01A,01月,02日中,540.18,01男,01小児,12,336,0
1072,01A,04木,03夜間,421.38,01男,05壮年,66,1284,0
1079,01A,05金,02日中,727.67,01男,01小児,10,541,0
1082,01A,06土,03夜間,515.54,01男,04中年,54,292,0
1084,01A,03水,02日中,745.35,01男,05壮年,65,523,0
1086,01A,07日,03夜間,551.63,01男,03青年,19,455,0
1095,01A,02火,03夜間,626.59,01男,04中年,51,1745,0
1097,01A,04木,03夜間,536.38,01男,03青年,30,890,0
1099,01A,01月,03夜間,615,01男,01小児,11,331,0
1100,01A,07日,03夜間,128.54,01男,03青年,21,343,0
1110,01A,05金,03夜間,805.64,01男,04中年,55,908,0
1111,01A,06土,03夜間,245.38,01男,04中年,42,791,0
1112,01A,02火,03夜間,496.86,01男,03青年,25,684,0
1115,01A,01月,03夜間,578,01男,02中高生,18,151,0
1121,01A,02火,02日中,427.04,01男,04中年,54,476,0
1128,01A,04木,02日中,41.6,01男,03青年,19,136,0
1137,01A,01月,01朝,133.6,01男,02中高生,15,452,0
1142,01A,06土,02日中,807.01,01男,01小児,8,187,0
1143,01A,06土,02日中,843.01,01男,04中年,56,392,0
1144,01A,05金,01朝,1141.5,01男,04中年,53,929,0
1145,01A,01月,02日中,1124.37,01男,03青年,25,250,0
1155,01A,05金,03夜間,868.35,01男,02中高生,15,166,0
1156,01A,05金,01朝,699.86,01男,01小児,10,385,0
1158,01A,05金,03夜間,165.41,01男,04中年,46,470,0
1168,01A,06土,03夜間,170.83,01男,03青年,20,317,0
1174,01A,06土,02日中,200.69,01男,04中年,50,635,0
1176,01A,02火,01朝,343.74,01男,02中高生,13,601,0
1177,01A,04木,03夜間,397.45,01男,05壮年,62,711,0
1179,01A,02火,01朝,693.39,01男,02中高生,18,452,0
1182,01A,06土,01朝,313.67,01男,01小児,9,407,0
1184,01A,05金,03夜間,333.51,01男,04中年,42,580,0
1194,01A,01月,02日中,1165.7,01男,05壮年,73,298,0
1195,01A,06土,01朝,335.44,01男,04中年,42,909,0
1198,01A,04木,03夜間,121.68,01男,04中年,50,1484,0
1199,01A,07日,02日中,1035.01,01男,04中年,52,328,0
1201,01A,05金,01朝,283.13,01男,02中高生,15,515,0
1204,01A,03水,03夜間,612.7,01男,03青年,21,536,0
1206,01A,06土,03夜間,112.71,01男,04中年,50,1134,0
1228,01A,01月,03夜間,567,01男,02中高生,14,404,0
1229,01A,05金,03夜間,465.32,01男,04中年,49,499,0
1233,01A,01月,01朝,590.36,01男,04中年,42,313,0
1247,01A,02火,03夜間,456,01男,01小児,12,428,0
1263,01A,01月,01朝,784.27,01男,03青年,33,504,0
1266,01A,06土,01朝,1044.24,01男,05壮年,95,408,0
1272,01A,03水,02日中,246.67,01男,01小児,10,148,0
1273,01A,04木,03夜間,41.89,01男,04中年,37,1426,0
1281,01A,06土,03夜間,412,01男,02中高生,13,242,0
1282,01A,03水,03夜間,1492,01男,02中高生,18,40,0
1284,01A,02火,01朝,362.62,01男,04中年,36,793,0
1291,01A,05金,01朝,600.72,01男,03青年,20,791,0
1292,01A,01月,03夜間,775.75,01男,03青年,24,1214,0
1295,01A,06土,03夜間,780,01男,01小児,12,734,0
1303,01A,06土,03夜間,442.99,01男,03青年,19,582,0
1307,01A,01月,01朝,354.93,01男,01小児,9,473,0
1309,01A,07日,01朝,373.7,01男,04中年,37,212,0
1312,01A,02火,01朝,1053.5,01男,01小児,12,252,0
1328,01A,03水,01朝,216.73,01男,01小児,7,481,0
1329,01A,03水,03夜間,1070.26,01男,05壮年,61,378,0
1333,01A,02火,03夜間,2615,01男,01小児,12,130,0
1342,01A,07日,01朝,353.7,01男,04中年,46,630,0
1344,01A,06土,02日中,1154.33,01男,02中高生,16,271,0
1345,01A,04木,03夜間,81,01男,04中年,37,787,0
1348,01A,05金,03夜間,389.3,01男,03青年,19,382,0
1350,01A,01月,03夜間,901.3,01男,03青年,22,469,0
1370,01A,06土,03夜間,65.04,01男,03青年,28,306,0
1373,01A,04木,02日中,696.19,01男,03青年,30,100,0
1380,01A,02火,03夜間,411.78,01男,04中年,37,481,0
1381,01A,01月,02日中,1133.39,01男,05壮年,78,260,0
1385,01A,03水,02日中,1213.05,01男,02中高生,17,320,0
1391,01A,03水,03夜間,468.84,01男,05壮年,67,594,0
1392,01A,02火,03夜間,173.31,01男,04中年,49,683,0
1394,01A,01月,01朝,1177.06,01男,04中年,44,247,0
1400,01A,03水,02日中,136.21,01男,03青年,22,871,0
1402,01A,03水,03夜間,149.58,01男,04中年,50,1611,0
1403,01A,07日,02日中,784.15,01男,05壮年,69,304,0
1404,01A,04木,02日中,255.84,01男,04中年,43,928,0
1419,01A,04木,03夜間,525.94,01男,05壮年,68,452,0
1430,01A,02火,02日中,654.6,01男,02中高生,13,519,0
1433,01A,02火,03夜間,165.17,01男,03青年,19,671,0
1440,01A,07日,03夜間,1480,01男,02中高生,18,73,0
1447,01A,04木,01朝,592.85,01男,03青年,19,332,0
1451,01A,07日,02日中,972.91,01男,04中年,45,101,0
1455,01A,01月,03夜間,1196.29,01男,04中年,43,771,0
1465,01A,05金,03夜間,463.1,01男,04中年,42,1268,0
1470,01A,05金,03夜間,759.68,01男,03青年,28,1266,0
1471,01A,02火,02日中,258.29,01男,05壮年,64,344,0
1482,01A,03水,02日中,915.13,01男,04中年,57,494,0
1486,01A,06土,03夜間,552.53,01男,04中年,41,803,0
1487,01A,02火,01朝,274.71,01男,02中高生,13,600,0
1506,01A,06土,02日中,549.98,01男,02中高生,17,460,0
1512,01A,07日,03夜間,346.45,01男,04中年,44,303,0
1531,01A,05金,03夜間,821,01男,01小児,12,266,0
1539,01A,04木,03夜間,564,01男,02中高生,14,186,0
1542,01A,02火,03夜間,924.98,01男,04中年,52,1111,0
1549,01A,05金,03夜間,1560,01男,02中高生,18,113,0
1552,01A,03水,03夜間,374.86,01男,04中年,47,503,0
1561,01A,05金,01朝,288.61,01男,04中年,36,441,0
1573,01A,05金,02日中,295.93,01男,02中高生,18,456,0
1576,01A,03水,03夜間,993,01男,02中高生,18,645,0
1577,01A,01月,03夜間,257.74,01男,05壮年,68,1287,0
1587,01A,06土,02日中,325.27,01男,02中高生,18,582,0
1588,01A,02火,01朝,303.36,01男,03青年,22,615,0
1597,01A,04木,03夜間,566.29,01男,04中年,47,2304,0
1612,01A,02火,02日中,532.92,01男,04中年,58,148,0
1616,01A,07日,03夜間,201.72,01男,04中年,41,863,0
1618,01A,01月,03夜間,1162.94,01男,04中年,56,456,0
1627,01A,05金,03夜間,798.05,01男,03青年,30,776,0
1628,01A,01月,03夜間,241.68,01男,03青年,22,165,0
1637,01A,01月,03夜間,563.32,01男,03青年,32,860,0
1639,01A,01月,01朝,95.87,01男,04中年,41,233,0
1640,01A,06土,02日中,1185.19,01男,01小児,8,426,0
1641,01A,05金,01朝,354.02,01男,04中年,46,441,0
1661,01A,02火,03夜間,182.65,01男,03青年,24,210,0
1665,01A,04木,01朝,306.35,01男,04中年,37,401,0
1670,01A,01月,03夜間,597.2,01男,03青年,24,772,0
1671,01A,03水,03夜間,1204,01男,01小児,12,567,0
1675,01A,07日,03夜間,344.9,01男,04中年,46,1458,0
1682,01A,04木,02日中,510.87,01男,03青年,30,358,0
1687,01A,06土,03夜間,436.29,01男,03青年,19,304,0
1690,01A,04木,03夜間,196.31,01男,03青年,30,296,0
1693,01A,04木,02日中,318.57,01男,03青年,33,221,0
1695,01A,03水,03夜間,885.38,01男,04中年,53,557,0
1696,01A,04木,03夜間,475.87,01男,04中年,42,632,0
1704,01A,01月,02日中,525.56,01男,01小児,11,644,0
1706,01A,05金,03夜間,2332,01男,02中高生,16,162,0
1720,01A,03水,03夜間,100.08,01男,04中年,36,949,0
1722,01A,04木,03夜間,287.9,01男,05壮年,70,1043,0
1728,01A,06土,03夜間,2265,01男,02中高生,16,107,0
1730,01A,06土,03夜間,2298,01男,01小児,10,63,0
1742,01A,06土,01朝,272.37,01男,02中高生,13,545,0
1751,01A,03水,03夜間,2277,01男,01小児,10,86,0
1755,01A,02火,01朝,274.94,01男,03青年,29,587,0
1756,01A,04木,01朝,435.15,01男,02中高生,14,548,0
1757,01A,02火,03夜間,305.93,01男,03青年,22,520,0
1759,01A,02火,03夜間,1167.11,01男,03青年,32,268,0
1760,01A,06土,02日中,228.92,01男,02中高生,18,219,0
1765,01A,05金,01朝,259.55,01男,04中年,44,575,0
1772,01A,03水,01朝,312.43,01男,03青年,27,586,0
1776,01A,06土,02日中,367.99,01男,03青年,22,833,0
1778,01A,03水,03夜間,167.31,01男,05壮年,62,268,0
1794,01A,01月,02日中,219.51,01男,05壮年,67,519,0
1795,01A,06土,01朝,324.42,01男,03青年,22,729,0
1805,01A,04木,03夜間,297.2,01男,04中年,44,639,0
1806,01A,03水,03夜間,394.3,01男,04中年,46,661,0
1822,01A,02火,01朝,508.87,01男,02中高生,17,568,0
1823,01A,04木,03夜間,1139.42,01男,01小児,9,346,0
1824,01A,02火,03夜間,273.52,01男,04中年,49,414,0
1825,01A,07日,02日中,1089.59,01男,02中高生,17,188,0
1833,01A,02火,03夜間,837.66,01男,03青年,20,481,0
1843,01A,06土,03夜間,273.05,01男,04中年,40,1176,0
1848,01A,04木,01朝,873.03,01男,04中年,40,470,0
1865,01A,03水,03夜間,919,01男,02中高生,18,124,0
1868,01A,06土,03夜間,107.63,01男,04中年,41,477,0
1877,01A,05金,02日中,562.47,01男,02中高生,13,357,0
1878,01A,01月,01朝,1611.49,01男,01小児,11,404,0
1882,01A,06土,01朝,234.13,01男,05壮年,66,307,0
1883,01A,05金,03夜間,286.27,01男,05壮年,64,434,0
1885,01A,01月,02日中,1004.82,01男,03青年,24,321,0
1893,01A,01月,01朝,573,01男,03青年,21,133,0
1894,01A,02火,03夜間,566.17,01男,04中年,43,1419,0
1897,01A,02火,03夜間,2439,01男,01小児,12,211,0
1898,01A,07日,03夜間,206.15,01男,04中年,48,1496,0
1899,01A,06土,02日中,960.69,01男,05壮年,81,120,0
1900,01A,06土,03夜間,369.58,01男,03青年,22,116,0
1901,01A,06土,02日中,1111.64,01男,04中年,59,445,0
1907,01A,01月,03夜間,299.3,01男,03青年,21,847,0
1909,01A,02火,03夜間,335.99,01男,03青年,21,246,0
1911,01A,03水,02日中,450.2,01男,02中高生,14,696,0
1915,01A,04木,03夜間,130.5,01男,02中高生,14,369,0
1921,01A,04木,02日中,823.35,01男,02中高生,14,360,0
1923,01A,05金,03夜間,297.85,01男,03青年,20,270,0
1924,01A,06土,02日中,239.71,01男,03青年,22,134,0
1927,01A,04木,03夜間,118.62,01男,04中年,44,789,0
1934,01A,02火,03夜間,333.63,01男,03青年,23,1021,0
1938,01A,07日,03夜間,88.12,01男,03青年,34,797,0
1946,01A,03水,03夜間,497.42,01男,04中年,40,384,0
1947,01A,04木,02日中,1672.27,01男,05壮年,93,256,0
1950,01A,04木,03夜間,469,01男,02中高生,16,308,0
1953,01A,07日,03夜間,274.03,01男,05壮年,69,425,0
1954,01A,05金,03夜間,814.85,01男,05壮年,97,350,0
1956,01A,05金,03夜間,774,01男,02中高生,15,149,0
1957,01A,02火,02日中,694.28,01男,01小児,8,269,0
1975,01A,06土,03夜間,100.55,01男,04中年,36,832,0
1986,01A,01月,02日中,860.81,01男,02中高生,14,93,0
1991,01A,04木,01朝,424.54,01男,04中年,41,959,0
2003,01A,05金,02日中,484.41,01男,04中年,40,609,0
2006,01A,04木,02日中,1058.31,01男,01小児,12,228,0
2007,01A,02火,01朝,167.51,01男,03青年,21,308,0
2012,01A,05金,03夜間,2210,01男,02中高生,16,170,0
2014,01A,07日,03夜間,380.5,01男,04中年,45,1118,0
2016,01A,03水,03夜間,274,01男,02中高生,15,296,0
2024,01A,03水,03夜間,198.98,01男,04中年,47,630,0
2037,01A,02火,03夜間,1136.96,01男,03青年,32,765,0
2040,01A,01月,02日中,1084.35,01男,04中年,42,599,0
2052,01A,03水,02日中,340.27,01男,04中年,51,180,0
2053,01A,01月,01朝,136.58,01男,04中年,42,916,0
2063,01A,07日,03夜間,148.84,01男,04中年,40,1503,0
2069,01A,07日,02日中,588.65,01男,03青年,34,324,0
2075,01A,03水,03夜間,410.02,01男,03青年,19,196,0
2076,01A,03水,03夜間,46.36,01男,03青年,27,756,0
2084,01A,05金,02日中,598.36,01男,04中年,51,112,0
2087,01A,02火,03夜間,31.77,01男,04中年,48,1574,0
2095,01A,02火,03夜間,125.76,01男,04中年,44,665,0
2098,01A,02火,03夜間,144.47,01男,05壮年,70,675,0
2107,01A,04木,01朝,889.28,01男,03青年,25,842,0
2112,01A,07日,03夜間,1053,01男,01小児,11,614,0
2117,01A,03水,02日中,771.87,01男,02中高生,16,209,0
2120,01A,01月,02日中,1086.91,01男,02中高生,16,199,0
2140,01A,05金,03夜間,935.22,01男,04中年,58,1336,0
2148,01A,02火,01朝,255.78,01男,04中年,49,414,0
2153,01A,05金,03夜間,458.83,01男,04中年,39,1017,0
2154,01A,03水,03夜間,497,01男,01小児,11,356,0
2155,01A,03水,03夜間,560.3,01男,05壮年,62,1347,0
2180,01A,01月,01朝,369.43,01男,04中年,40,613,0
2182,01A,02火,03夜間,419.67,01男,03青年,19,262,0
2184,01A,04木,02日中,274.86,01男,03青年,19,778,0
2185,01A,03水,03夜間,423.56,01男,04中年,46,774,0
2193,01A,01月,03夜間,616,01男,01小児,9,422,0
2194,01A,02火,03夜間,426.55,01男,03青年,22,260,0
2197,01A,05金,03夜間,2049,01男,01小児,11,202,0
2202,01A,07日,03夜間,602,01男,02中高生,13,192,0
2224,01A,03水,03夜間,895.54,01男,03青年,35,1203,0
2237,01A,04木,03夜間,262.12,01男,04中年,44,1158,0
2244,01A,03水,02日中,544.52,01男,02中高生,13,468,0
2253,01A,02火,01朝,944.78,01男,04中年,51,847,0
2261,01A,01月,02日中,206.18,01男,03青年,21,351,0
2292,01A,03水,03夜間,199.87,01男,03青年,19,527,0
2296,01A,04木,03夜間,575.06,01男,05壮年,67,1167,0
2297,01A,04木,02日中,901.49,01男,04中年,56,249,0
2301,01A,04木,02日中,594.84,01男,05壮年,68,408,0
2303,01A,02火,03夜間,2499,01男,02中高生,16,99,0
2305,01A,06土,01朝,366.55,01男,03青年,33,104,0
2314,01A,02火,01朝,194.12,01男,03青年,19,653,0
2317,01A,03水,03夜間,573.51,01男,03青年,34,728,0
2329,01A,01月,03夜間,1163.53,01男,04中年,48,385,0
2330,01A,02火,03夜間,324.6,01男,04中年,38,1311,0
2331,01A,06土,03夜間,101.46,01男,05壮年,63,541,0
2356,01A,03水,03夜間,385.75,01男,04中年,49,338,0
2370,01A,05金,02日中,179.13,01男,02中高生,13,662,0
2377,01A,06土,01朝,830.97,01男,01小児,5,454,0
2380,01A,01月,02日中,174.44,01男,04中年,48,659,0
2389,01A,01月,01朝,157.7,01男,03青年,22,515,0
2392,01A,01月,02日中,595.1,01男,04中年,46,952,0
2401,01A,05金,02日中,253.85,01男,03青年,23,447,0
2410,01A,03水,03夜間,527,01男,01小児,10,616,0
2411,01A,01月,03夜間,309.06,01男,03青年,19,778,0
2422,01A,01月,01朝,88.39,01男,03青年,21,675,0
